Time (s),Load (lbf),Machine Extension (in),Extension (in)
0.0000,,,
0.0009948,,,
0.001990,,,
0.002984,,,
0.003979,,,
0.004974,,,
0.005969,,,
0.006964,,,
0.007958,,,
0.008953,,,
0.009948,,,
0.01094,,,
0.01194,,,
0.01293,,,
0.01393,,,
0.01492,,,
0.01592,,,
0.01691,,,
0.01791,,,
0.01890,,,
0.01990,,,
0.02089,,,
0.02189,,,
0.02288,0.011587,,
0.02388,0.011609,,
0.02487,0.011632,,
0.02586,0.011654,,
0.02686,0.011677,,
0.02785,0.011699,,
0.02885,0.011722,,
0.02984,0.011744,,
0.03084,0.011767,,
0.03183,0.011789,,
0.03283,0.011811,,
0.03382,0.011834,,
0.03482,0.011856,,
0.03581,0.011879,,
0.03681,0.011901,,
0.03780,0.011924,,
0.03880,0.011946,,
0.03979,0.011969,,
0.04079,0.011991,,
0.04178,0.012014,,
0.04278,0.012036,,
0.04377,0.012059,,
0.04477,0.012081,,
0.04576,0.012103,,
0.04676,0.012126,,
0.04775,0.012148,0.00000014546,0.00000014546
0.04875,0.012171,0.00000080599,0.00000080599
0.04974,0.012193,0.0000014665,0.0000014665
0.05073,0.012216,0.0000021270,0.0000021270
0.05173,0.012238,0.0000027876,0.0000027876
0.05272,0.012261,0.0000034481,0.0000034481
0.05372,0.012283,0.0000041086,0.0000041086
0.05471,0.012306,0.0000047691,0.0000047691
0.05571,0.012328,0.0000054297,0.0000054297
0.05670,0.012351,0.0000060902,0.0000060902
0.05770,0.012373,0.0000067507,0.0000067507
0.05869,0.012395,0.0000074112,0.0000074112
0.05969,0.012418,0.0000080718,0.0000080718
0.06068,0.012440,0.0000087323,0.0000087323
0.06168,0.012463,0.0000093928,0.0000093928
0.06267,0.012485,0.000010053,0.000010053
0.06367,0.012508,0.000010714,0.000010714
0.06466,0.012530,0.000011374,0.000011374
0.06566,0.012553,0.000014578,0.000014578
0.06665,0.012575,0.000019861,0.000019861
0.06765,0.012598,0.000025144,0.000025144
0.06864,0.012620,0.000030427,0.000030427
0.06964,0.012643,0.000035709,0.000035709
0.07063,0.012665,0.000040992,0.000040992
0.07163,0.012670,0.000046275,0.000046275
0.07262,0.012640,0.000051558,0.000051558
0.07362,0.012610,0.000056841,0.000056841
0.07461,0.012581,0.000062123,0.000062123
0.07560,0.012551,0.000067406,0.000067406
0.07660,0.012521,0.000072689,0.000072689
0.07759,0.012491,0.000077972,0.000077972
0.07859,0.012462,0.000083255,0.000083255
0.07958,0.012432,0.000093986,0.000093986
0.08058,0.012402,0.00010602,0.00010602
0.08157,0.012372,0.00011806,0.00011806
0.08257,0.012343,0.00013009,0.00013009
0.08356,0.012313,0.00014213,0.00014213
0.08456,0.012283,0.00015416,0.00015416
0.08555,0.012253,0.00016620,0.00016620
0.08655,0.012224,0.00017823,0.00017823
0.08754,0.012194,0.00019027,0.00019027
0.08854,0.012164,0.00020230,0.00020230
0.08953,0.012135,0.00021434,0.00021434
0.09053,0.012105,0.00022652,0.00022652
0.09152,0.012075,0.00024412,0.00024412
0.09252,0.012045,0.00026171,0.00026171
0.09351,0.012016,0.00027931,0.00027931
0.09451,0.011986,0.00029690,0.00029690
0.09550,0.011956,0.00031450,0.00031450
0.09650,0.011926,0.00033209,0.00033209
0.09749,0.011897,0.00034969,0.00034969
0.09849,0.011867,0.00036729,0.00036729
0.09948,0.011837,0.00038488,0.00038488
0.1005,0.011807,0.00040248,0.00040248
0.1015,0.011778,0.00042007,0.00042007
0.1025,0.011748,0.00043767,0.00043767
0.1035,0.011815,0.00045526,0.00045526
0.1045,0.011890,0.00047286,0.00047286
0.1054,0.011964,0.00049045,0.00049045
0.1064,0.012039,0.00050805,0.00050805
0.1074,0.012114,0.00052565,0.00052565
0.1084,0.012189,0.00054126,0.00054126
0.1094,0.012263,0.00055332,0.00055332
0.1104,0.012338,0.00056537,0.00056537
0.1114,0.012413,0.00057743,0.00057743
0.1124,0.012488,0.00058948,0.00058948
0.1134,0.012562,0.00060154,0.00060154
0.1144,0.012637,0.00061359,0.00061359
0.1154,0.012712,0.00062565,0.00062565
0.1164,0.012787,0.00063770,0.00063770
0.1174,0.012861,0.00064976,0.00064976
0.1184,0.012936,0.00066181,0.00066181
0.1194,0.013011,0.00067387,0.00067387
0.1204,0.013086,0.00068265,0.00068265
